search_term,page_num,allsides_url,detail_title,bias,tags,publish_date,source_url
ai,,https://www.allsides.com/news/2025-07-16-1400/technology-scale-ai-lays-14-staff-largely-data-labelling-business,"Scale AI lays off 14% of staff, largely in data labelling business",Center,AI Technology,,https://techcrunch.com/2025/07/16/scale-ai-lays-off-14-of-staff-largely-in-data-labelling-business
ai,,https://www.allsides.com/news/2025-07-17-1100/technology-grok-brings-light-wider-ai-antisemitism,Grok brings to light wider AI antisemitism,Lean Left,AI Technology,,https://theweek.com/tech/grok-ai-antisemitism-technology
ai,,https://www.allsides.com/news/2025-07-17-0700/technology-slack-bolsters-search-ai-adds-transcriptions-and-summaries-huddles,"Slack bolsters search with AI, adds transcriptions and summaries for huddles",Center,AI Technology,,https://techcrunch.com/2025/07/17/slack-bolsters-search-with-ai-adds-transcriptions-and-summaries-for-huddles
ai,,https://www.allsides.com/news/2025-07-18-1100/technology-meta-won-t-sign-eu-s-code-practice-generative-ai-says-executive,"Meta Won’t Sign EU’s Code of Practice for Generative AI, Says Executive",Lean Right,AI European Union Technology,,https://theepochtimes.com/tech/meta-wont-sign-eus-code-of-practice-for-generative-ai-says-executive-5889370
ai,,https://www.allsides.com/news/2025-07-20-1400/business-ai-will-replace-recruiters-and-assistants-six-months-says-ceo-behind,"AI Will Replace Recruiters and Assistants in Six Months, Says CEO Behind ChatGPT Rival",Lean Left,AI Business,,https://gizmodo.com/ai-will-replace-recruiters-and-assistants-in-six-months-says-ceo-behind-chatgpt-rival-2000631871
ai,,https://www.allsides.com/news/2025-07-20-0600/technology-sunday-good-reads-july-20th-2025,"Sunday Good Reads for July 20th, 2025",Left,Technology,,https://dailykos.com/stories/2025/7/20/2334294/-Sunday-Good-Reads-for-July-20th-2025
ai,,https://www.allsides.com/news/2025-07-17-0100/technology-top-ai-firms-fall-short-safety-new-studies-find,"Top AI Firms Fall Short on Safety, New Studies Find",Lean Left,AI Technology,,https://time.com/7302757/anthropic-xai-meta-openai-risk-management-2
ai,,https://www.allsides.com/news/2025-07-18-0200/business-tech-ceo-and-psychologist-weigh-ai-chatbots-ted-radio-hour,A tech CEO and a psychologist weigh in on AI chatbots : TED Radio Hour,Lean Left,AI Health Business,,https://npr.org/2025/07/18/1255880063/ted-radio-hour-prophets-of-technology-part-2
ai,,https://www.allsides.com/news/2025-07-16-1300/technology-companies-firing-staff-ai-today-will-regret-it-five-years,The companies firing staff for AI today will regret it in five years,Center,AI Technology,,https://fortune.com/2025/07/16/ai-layoffs-regrets
ai,,https://www.allsides.com/news/2025-07-16-0900/technology-top-tech-companies-are-sounding-another-alarm-ai,Top tech companies are sounding another alarm on AI,Center,AI Technology,,https://qz.com/ai-scientists-warning-openai-google-deepmind-meta
ai,,https://www.allsides.com/news/2025-07-19-1400/technology-elon-musks-latest-blending-his-business-interests-puts-grok-ai,Elon Musk's latest blending of his business interests puts the Grok AI chatbot in all new Teslas—and raises questions around data and privacy,Center,AI Technology,,https://fortune.com/2025/07/19/elon-musk-tesla-xai-grok-mixes-business-interests-llm-training-data-privacy-questions
ai,,https://www.allsides.com/news/2025-07-17-1100/business-ceo-faces-cheating-allegations-after-being-caught-embrace-coworker,CEO faces cheating allegations after being caught in embrace with coworker on Jumbotron at Coldplay concert,Lean Left,Entertainment Music Business,,https://yahoo.com/entertainment/articles/ceo-faces-cheating-allegations-being-160122429.html
ai,,https://www.allsides.com/news/2025-07-17-0900/technology-nobody-company-has-explain-company-why-she-or-he-using-ai-do,“Nobody in the company has to explain in the company why she or he is using AI to do something … You only have to explain if you didn’t use AI. That’s really something you have to explain because that shouldn’t happen.”,Center,AI Technology,,https://niemanlab.org/reading/nobody-in-the-company-has-to-explain-in-the-company-why-she-or-he-is-using-ai-to-do-something-you-only-have-to-explain-if-you-didnt-use-ai-thats-really-something-you-have-to-e
ai,,https://www.allsides.com/news/2025-07-17-1200/technology-uks-most-powerful-supercomputer-isambard-ai-comes-online,UK's most powerful supercomputer Isambard-AI comes online,Center,AI Technology,,https://bbc.com/news/articles/c8rpnlrj7ppo
ai,,https://www.allsides.com/news/2025-07-19-0600/technology-ai-guzzled-millions-books-without-permission-authors-are-fighting,AI guzzled millions of books without permission. Authors are fighting back.,Lean Left,AI Technology,,https://washingtonpost.com/technology/2025/07/19/ai-books-authors-congress-courts
ai,,https://www.allsides.com/news/2025-07-17-2100/technology-netflix-enlists-ai-first-time-cut-costs-and-boost-creativity,Netflix enlists AI for first time to cut costs and boost creativity,Center,AI Technology,,https://bbc.com/news/articles/c9vr4rymlw9o
ai,,https://www.allsides.com/news/2025-07-14-2300/business-tulsa-worlds-new-website-amplifieddigitalai-helps-small-businesses,The Tulsa World's new website AmplifiedDigital.AI helps small businesses figure out AI,Center,AI Oklahoma Tulsa Business,,https://tulsaworld.com/sponsoredcontent/article_b1f6ff83-c720-42f4-ac4f-c4f66da2d191.html
ai,,https://www.allsides.com/news/2025-07-18-1800/environment-trump-announces-artificial-intelligence-investments-pennsylvania,Trump Announces Artificial Intelligence Investments in Pennsylvania – The American Spectator,Right,AI Environment Politics,,https://spectator.org/trump-announces-artificial-intelligence-investments-in-pennsylvania
ai,,https://www.allsides.com/news/2025-07-18-1100/technology-netflix-s-first-show-generative-ai-sign-what-s-come-tv-film,"Netflix’s first show with generative AI is a sign of what’s to come in TV, film",Center,AI Technology,,https://arstechnica.com/gadgets/2025/07/netflixs-first-show-with-generative-ai-is-a-sign-of-whats-to-come-in-tv-film
ai,,https://www.allsides.com/news/2025-07-21-0300/technology-microsoft-looks-boost-ai-performance-european-languages,Microsoft Looks To Boost AI Performance In European Languages,Center,AI Markets Technology Economy And Jobs,,https://barrons.com/news/microsoft-looks-to-boost-ai-performance-in-european-languages-643449c1
ai,,https://www.allsides.com/news/2025-07-17-1300/business-coldplay-s-kiss-cam-exposes-astronomer-s-ceo-andy-byron-alleged-affair,Coldplay’s Kiss Cam Exposes Astronomer’s CEO Andy Byron Alleged Affair With HR Chief Kristin Cabot,Lean Left,Entertainment Music Business,,https://yahoo.com/entertainment/articles/coldplay-kiss-cam-exposes-astronomer-142620411.html
ai,,https://www.allsides.com/news/2025-07-16-0900/technology-top-tech-companies-are-sounding-another-alarm-ai,Top tech companies are sounding another alarm on AI,Center,AI Technology,,https://qz.com/ai-scientists-warning-openai-google-deepmind-meta
ai,,https://www.allsides.com/news/2025-07-16-1300/technology-companies-firing-staff-ai-today-will-regret-it-five-years,The companies firing staff for AI today will regret it in five years,Center,AI Technology,,https://fortune.com/2025/07/16/ai-layoffs-regrets
ai,,https://www.allsides.com/news/2025-07-17-1100/business-ceo-faces-cheating-allegations-after-being-caught-embrace-coworker,CEO faces cheating allegations after being caught in embrace with coworker on Jumbotron at Coldplay concert,Lean Left,Entertainment Music Business,,https://yahoo.com/entertainment/articles/ceo-faces-cheating-allegations-being-160122429.html
ai,,https://www.allsides.com/news/2025-07-17-0900/technology-nobody-company-has-explain-company-why-she-or-he-using-ai-do,“Nobody in the company has to explain in the company why she or he is using AI to do something … You only have to explain if you didn’t use AI. That’s really something you have to explain because that shouldn’t happen.”,Center,AI Technology,,https://niemanlab.org/reading/nobody-in-the-company-has-to-explain-in-the-company-why-she-or-he-is-using-ai-to-do-something-you-only-have-to-explain-if-you-didnt-use-ai-thats-really-something-you-have-to-e
ai,,https://www.allsides.com/news/2025-07-17-1200/technology-uks-most-powerful-supercomputer-isambard-ai-comes-online,UK's most powerful supercomputer Isambard-AI comes online,Center,AI Technology,,https://bbc.com/news/articles/c8rpnlrj7ppo
ai,,https://www.allsides.com/news/2025-07-16-1800/business-sf-ai-startup-scale-cuts-14-staff-after-meta-buyout,SF AI startup Scale cuts 14% of staff after Meta buyout,Not Rated,AI Business,,https://kron4.com/news/technology-ai/scale-ai-lays-off-employees-after-meta-investment
ai,,https://www.allsides.com/news/2025-07-16-1100/technology-nintendo-announces-stars-legend-zelda-movie,Nintendo announces stars of 'The Legend of Zelda' movie,Lean Left,Entertainment Movies Technology,,https://yahoo.com/entertainment/articles/nintendo-announces-stars-legend-zelda-162143838.html
ai,,https://www.allsides.com/news/2025-07-15-0800/technology-wetransfer-says-files-not-used-train-ai-after-backlash,WeTransfer says files not used to train AI after backlash,Center,AI Technology,,https://bbc.com/news/articles/cp8mp79gyz1o
ai,,https://www.allsides.com/news/2025-07-15-1700/technology-grok-drama-raises-questions-about-ai-regulation,Grok drama raises questions about AI regulation,Center,AI Technology,,https://thehill.com/newsletters/technology/5402965-grok-drama-raises-questions-about-ai-regulation
ai,,https://www.allsides.com/news/2025-07-18-1200/technology-ai-coming-fore-coders-mike-rowe-reveals-jobs-are-safe-and-great,‘AI is coming fore the coders’: Mike Rowe reveals jobs that are safe and in great demand,Right,AI Technology,,https://bizpacreview.com/2025/07/18/ai-is-coming-fore-the-coders-mike-rowe-reveals-jobs-that-are-safe-and-in-great-demand-1569076
